conversion_id,lead_id,converted,revenue,cost,conversion_date,days_to_convert
108,108,1,90.62,19.45,2025-06-25,4.0
109,109,1,111.48,56.32,2025-12-06,18.0
110,110,0,0.0,19.0,,
111,111,0,0.0,12.72,,
112,112,0,0.0,32.53,,
113,113,0,0.0,14.68,,
114,114,1,88.74,23.93,2025-12-04,15.0
115,115,0,0.0,38.44,,
116,116,0,0.0,18.65,,
117,117,0,0.0,22.74,,
118,118,1,117.17,44.3,2025-07-30,4.0
119,119,0,0.0,28.22,,
120,120,0,0.0,11.83,,
121,121,1,95.66,29.19,2025-09-02,18.0
122,122,1,73.36,28.1,2025-08-14,21.0
123,123,1,46.25,53.95,2025-07-26,16.0
124,124,0,0.0,34.42,,
125,125,1,111.25,51.72,2024-12-05,14.0
126,126,0,0.0,12.68,,
127,127,0,0.0,13.82,,
128,128,0,0.0,15.28,,
129,129,1,147.26,30.73,2024-05-17,8.0
130,130,0,0.0,17.23,,
131,131,0,0.0,32.63,,
132,132,1,90.06,55.23,2025-02-01,11.0
133,133,1,138.51,39.45,2025-06-13,9.0
134,134,0,0.0,11.29,,
135,135,0,0.0,34.42,,
136,136,1,54.18,17.46,2024-09-18,20.0
137,137,0,0.0,27.25,,
138,138,0,0.0,15.13,,
139,139,0,0.0,17.08,,
140,140,0,0.0,19.86,,
141,141,1,99.96,22.87,2025-09-05,20.0
142,142,0,0.0,38.35,,
143,143,0,0.0,36.0,,
144,144,0,0.0,22.73,,
145,145,0,0.0,14.83,,
146,146,1,77.42,36.86,2025-05-27,9.0
147,147,1,62.0,25.34,2024-09-10,25.0
148,148,0,0.0,36.86,,
149,149,0,0.0,22.08,,
150,150,1,119.61,43.13,2024-12-12,13.0
151,151,1,101.86,54.34,2025-11-22,1.0
152,152,0,0.0,18.41,,
153,153,0,0.0,38.93,,
154,154,1,122.69,53.19,2024-01-07,6.0
155,155,1,99.55,48.39,2025-08-20,23.0
156,156,0,0.0,36.25,,
157,157,0,0.0,27.23,,
158,158,0,0.0,26.28,,
159,159,1,101.45,48.75,2025-04-06,12.0
160,160,0,0.0,32.2,,
161,161,1,74.06,49.56,2026-01-09,25.0
162,162,0,0.0,16.22,,
163,163,0,0.0,15.29,,
164,164,0,0.0,35.11,,
165,165,1,105.34,33.91,2025-07-01,27.0
166,166,1,72.73,42.31,2025-07-09,25.0
167,167,0,0.0,24.56,,
168,168,1,91.94,43.3,2024-04-06,20.0
169,169,0,0.0,17.89,,
170,170,1,57.78,38.47,2025-01-03,16.0
171,171,1,129.81,36.54,2025-10-19,16.0
172,172,1,66.08,51.91,2024-05-29,20.0
173,173,0,0.0,38.44,,
174,174,0,0.0,27.44,,
175,175,1,102.13,17.09,2025-02-12,3.0
176,176,0,0.0,26.25,,
177,177,1,76.19,52.41,2024-12-02,26.0
178,178,0,0.0,25.73,,
179,179,1,88.23,26.34,2024-06-01,23.0
180,180,1,45.97,38.3,2024-02-17,23.0
181,181,1,107.87,49.02,2024-06-01,25.0
182,182,0,0.0,38.81,,
183,183,0,0.0,35.29,,
184,184,0,0.0,14.99,,
185,185,0,0.0,37.41,,
186,186,0,0.0,37.55,,
187,187,0,0.0,18.23,,
188,188,0,0.0,19.13,,
189,189,0,0.0,39.37,,
190,190,0,0.0,18.14,,
191,191,0,0.0,22.91,,
192,192,0,0.0,14.67,,
193,193,0,0.0,19.68,,
194,194,0,0.0,21.96,,
195,195,0,0.0,17.86,,
196,196,1,101.15,21.37,2024-05-29,28.0
197,197,0,0.0,27.06,,
198,198,0,0.0,29.04,,
199,199,0,0.0,26.22,,
200,200,1,88.19,27.31,2024-05-26,18.0
201,201,0,0.0,24.71,,
202,202,1,93.16,56.59,2024-01-15,1.0
203,203,0,0.0,10.47,,
204,204,1,117.53,55.79,2024-07-09,3.0
205,205,0,0.0,15.93,,
206,206,0,0.0,35.02,,
207,207,0,0.0,39.17,,
208,208,0,0.0,18.79,,
209,209,0,0.0,17.89,,
210,210,0,0.0,11.77,,
211,211,0,0.0,12.2,,
212,212,1,124.66,24.76,2024-08-09,2.0
213,213,0,0.0,35.33,,
214,214,1,85.46,22.41,2024-05-23,2.0
215,215,0,0.0,35.16,,
216,216,1,102.82,32.62,2025-08-31,11.0
217,217,0,0.0,24.93,,
218,218,0,0.0,10.24,,
219,219,0,0.0,28.47,,
220,220,0,0.0,39.79,,
221,221,0,0.0,25.69,,
222,222,1,29.19,15.68,2024-10-05,11.0
223,223,1,81.16,58.45,2025-06-25,22.0
224,224,0,0.0,37.74,,
225,225,1,83.82,26.75,2025-08-01,8.0
226,226,1,101.99,23.61,2025-05-20,20.0
227,227,0,0.0,37.15,,
228,228,0,0.0,24.33,,
229,229,0,0.0,19.42,,
230,230,0,0.0,26.43,,
231,231,0,0.0,38.77,,
232,232,0,0.0,35.95,,
233,233,0,0.0,11.69,,
234,234,0,0.0,13.75,,
235,235,0,0.0,34.62,,
236,236,1,63.56,29.87,2025-10-20,22.0
237,237,0,0.0,29.04,,
238,238,0,0.0,18.11,,
239,239,1,65.91,28.9,2025-06-12,2.0
240,240,0,0.0,14.48,,
241,241,0,0.0,15.07,,
242,242,1,91.61,32.48,2025-04-14,29.0
243,243,0,0.0,13.67,,
244,244,0,0.0,24.77,,
245,245,0,0.0,14.82,,
246,246,0,0.0,25.59,,
247,247,0,0.0,29.77,,
248,248,0,0.0,13.0,,
249,249,1,111.28,55.05,2025-08-02,17.0
250,250,1,86.26,41.51,2024-10-19,25.0
251,251,0,0.0,39.36,,
252,252,0,0.0,16.65,,
253,253,0,0.0,19.3,,
254,254,0,0.0,29.78,,
255,255,0,0.0,21.26,,
256,256,0,0.0,28.97,,
257,257,0,0.0,35.17,,
258,258,0,0.0,23.0,,
259,259,0,0.0,23.35,,
260,260,0,0.0,11.39,,
261,261,1,147.84,44.94,2024-05-30,12.0
262,262,0,0.0,38.58,,
263,263,0,0.0,26.21,,
264,264,1,107.14,28.44,2025-08-29,25.0
265,265,1,114.28,26.15,2025-04-17,8.0
266,266,0,0.0,11.98,,
267,267,0,0.0,33.81,,
268,268,0,0.0,23.63,,
269,269,0,0.0,35.38,,
270,270,1,122.42,51.53,2024-07-11,5.0
271,271,0,0.0,29.43,,
272,272,1,148.6,23.04,2024-11-24,8.0
273,273,0,0.0,20.95,,
274,274,0,0.0,38.57,,
275,275,0,0.0,17.93,,
276,276,0,0.0,36.56,,
277,277,1,104.7,43.46,2025-11-28,24.0
278,278,0,0.0,32.84,,
279,279,0,0.0,24.79,,
280,280,1,109.11,34.35,2025-07-18,25.0
281,281,1,141.81,47.49,2024-02-02,20.0
282,282,0,0.0,33.49,,
283,283,0,0.0,33.47,,
284,284,0,0.0,26.24,,
285,285,0,0.0,25.1,,
286,286,0,0.0,10.12,,
287,287,0,0.0,24.19,,
288,288,1,118.02,35.02,2025-10-26,18.0
289,289,0,0.0,25.86,,
290,290,1,101.45,19.51,2025-09-21,22.0
291,291,0,0.0,15.75,,
292,292,1,142.09,15.99,2025-08-13,27.0
293,293,1,143.4,36.78,2024-01-15,10.0
294,294,0,0.0,12.64,,
295,295,0,0.0,26.95,,
296,296,0,0.0,21.67,,
297,297,1,41.35,24.53,2025-07-25,1.0
298,298,0,0.0,15.58,,
299,299,0,0.0,11.63,,
300,300,0,0.0,36.74,,
301,301,0,0.0,27.04,,
302,302,1,62.79,20.6,2024-04-28,5.0
303,303,1,136.97,44.9,2024-07-30,19.0
304,304,1,136.58,35.0,2025-02-16,10.0
305,305,1,60.96,18.63,2025-02-27,25.0
306,306,0,0.0,26.97,,
307,307,0,0.0,39.91,,
308,308,0,0.0,21.93,,
309,309,0,0.0,23.71,,
310,310,0,0.0,38.46,,
311,311,1,89.68,55.35,2024-09-29,1.0
312,312,0,0.0,36.49,,
313,313,1,133.07,21.13,2025-06-01,29.0
314,314,0,0.0,27.74,,
315,315,0,0.0,34.73,,
316,316,0,0.0,21.5,,
317,317,1,126.23,59.94,2024-06-25,9.0
318,318,0,0.0,15.09,,
319,319,0,0.0,10.48,,
320,320,0,0.0,20.14,,
321,321,0,0.0,26.53,,
322,322,1,134.94,42.18,2025-12-14,20.0
323,323,0,0.0,32.36,,
324,324,0,0.0,23.23,,
325,325,0,0.0,34.54,,
326,326,0,0.0,30.16,,
327,327,1,181.29,29.52,2025-08-10,28.0
328,328,0,0.0,35.35,,
329,329,0,0.0,23.11,,
330,330,1,73.73,56.15,2024-03-02,8.0
331,331,0,0.0,24.01,,
332,332,0,0.0,11.25,,
333,333,0,0.0,14.91,,
334,334,0,0.0,18.5,,
335,335,0,0.0,18.7,,
336,336,0,0.0,20.29,,
337,337,0,0.0,14.05,,
338,338,0,0.0,17.91,,
339,339,1,123.81,57.59,2025-11-01,6.0
340,340,1,81.83,26.84,2024-07-11,16.0
341,341,1,84.23,44.0,2025-11-18,26.0
342,342,0,0.0,38.19,,
343,343,1,91.83,59.24,2025-10-10,29.0
344,344,0,0.0,15.47,,
345,345,0,0.0,31.02,,
346,346,0,0.0,35.08,,
347,347,0,0.0,36.25,,
348,348,0,0.0,35.49,,
349,349,0,0.0,35.99,,
350,350,0,0.0,36.42,,
351,351,0,0.0,27.66,,
352,352,0,0.0,30.28,,
353,353,1,107.03,44.3,2024-05-28,27.0
354,354,1,95.0,40.41,2025-03-02,18.0
355,355,0,0.0,12.23,,
356,356,1,100.21,20.59,2025-05-16,17.0
357,357,0,0.0,10.29,,
358,358,0,0.0,15.19,,
359,359,0,0.0,30.92,,
360,360,0,0.0,32.53,,
361,361,0,0.0,33.69,,
362,362,0,0.0,12.89,,
363,363,1,90.88,52.57,2025-01-28,29.0
364,364,0,0.0,26.0,,
365,365,0,0.0,26.53,,
366,366,0,0.0,20.9,,
367,367,0,0.0,30.4,,
368,368,0,0.0,25.96,,
369,369,1,79.65,38.77,2025-10-02,25.0
370,370,1,131.91,33.21,2024-11-05,14.0
371,371,1,152.28,27.81,2025-03-20,7.0
372,372,0,0.0,29.61,,
373,373,0,0.0,29.15,,
374,374,1,61.16,31.48,2024-03-22,18.0
375,375,0,0.0,16.32,,
376,376,0,0.0,32.51,,
377,377,1,105.32,32.71,2025-01-11,1.0
378,378,1,135.31,15.46,2025-03-29,8.0
379,379,0,0.0,23.74,,
380,380,1,141.27,22.94,2025-11-12,22.0
381,381,0,0.0,23.01,,
382,382,1,128.99,36.69,2025-08-14,3.0
383,383,1,85.64,35.78,2025-02-27,2.0
384,384,0,0.0,35.55,,
385,385,0,0.0,32.93,,
386,386,0,0.0,18.21,,
387,387,0,0.0,12.36,,
388,388,0,0.0,26.7,,
389,389,0,0.0,12.65,,
390,390,0,0.0,31.55,,
391,391,0,0.0,10.63,,
392,392,0,0.0,27.26,,
393,393,0,0.0,30.22,,
394,394,0,0.0,22.15,,
395,395,0,0.0,15.2,,
396,396,0,0.0,19.47,,
397,397,0,0.0,10.61,,
398,398,0,0.0,15.7,,
399,399,0,0.0,11.57,,
400,400,0,0.0,11.59,,
401,401,0,0.0,33.26,,
402,402,1,137.94,22.94,2026-01-13,18.0
403,403,0,0.0,30.89,,
404,404,0,0.0,17.2,,
405,405,0,0.0,17.86,,
406,406,1,133.81,51.36,2024-07-22,13.0
407,407,0,0.0,18.48,,
408,408,0,0.0,16.93,,
409,409,0,0.0,28.83,,
410,410,0,0.0,11.34,,
411,411,1,96.89,45.15,2025-01-03,6.0
412,412,0,0.0,10.23,,
413,413,0,0.0,22.06,,
414,414,0,0.0,33.49,,
415,415,0,0.0,22.5,,
416,416,1,77.06,19.42,2025-02-27,23.0
417,417,0,0.0,33.92,,
418,418,0,0.0,11.56,,
419,419,0,0.0,15.94,,
420,420,0,0.0,31.53,,
421,421,0,0.0,26.97,,
422,422,0,0.0,25.18,,
423,423,0,0.0,14.56,,
424,424,0,0.0,21.5,,
425,425,0,0.0,12.18,,
426,426,1,108.35,53.02,2024-05-16,21.0
427,427,0,0.0,30.09,,
428,428,1,145.28,35.3,2024-07-13,14.0
429,429,1,89.07,39.11,2024-05-25,17.0
430,430,1,115.29,54.48,2025-02-01,12.0
431,431,0,0.0,29.06,,
432,432,0,0.0,25.88,,
433,433,0,0.0,33.24,,
434,434,1,115.27,41.71,2024-10-23,12.0
435,435,0,0.0,28.57,,
436,436,0,0.0,36.81,,
437,437,0,0.0,31.09,,
438,438,0,0.0,16.9,,
439,439,0,0.0,13.57,,
440,440,0,0.0,16.55,,
441,441,0,0.0,19.06,,
442,442,0,0.0,18.59,,
443,443,0,0.0,20.56,,
444,444,0,0.0,29.11,,
445,445,0,0.0,13.18,,
446,446,1,78.74,27.88,2024-08-30,23.0
447,447,1,128.63,58.02,2025-11-09,13.0
448,448,1,103.7,21.33,2024-09-30,14.0
449,449,0,0.0,30.05,,
450,450,0,0.0,26.81,,
451,451,0,0.0,14.07,,
452,452,0,0.0,26.88,,
453,453,0,0.0,20.3,,
454,454,0,0.0,15.79,,
455,455,0,0.0,25.46,,
456,456,1,66.19,26.89,2024-04-02,3.0
457,457,0,0.0,19.51,,
458,458,0,0.0,10.58,,
459,459,0,0.0,37.35,,
460,460,1,109.0,33.2,2025-12-24,2.0
461,461,1,104.6,52.01,2025-11-18,9.0
462,462,0,0.0,14.86,,
463,463,1,72.92,54.1,2025-06-08,5.0
464,464,0,0.0,17.39,,
465,465,0,0.0,23.23,,
466,466,0,0.0,26.53,,
467,467,0,0.0,31.62,,
468,468,0,0.0,31.78,,
469,469,1,92.98,43.34,2025-01-31,27.0
470,470,0,0.0,21.92,,
471,471,1,41.61,52.97,2025-12-21,22.0
472,472,0,0.0,22.79,,
473,473,0,0.0,23.31,,
474,474,0,0.0,33.24,,
475,475,0,0.0,27.74,,
476,476,0,0.0,36.97,,
477,477,0,0.0,21.06,,
478,478,0,0.0,38.96,,
479,479,0,0.0,11.49,,
480,480,1,168.34,34.3,2024-02-19,29.0
481,481,0,0.0,36.28,,
482,482,1,109.34,22.54,2024-09-09,6.0
483,483,0,0.0,28.67,,
484,484,0,0.0,26.58,,
485,485,0,0.0,37.33,,
486,486,0,0.0,24.54,,
487,487,0,0.0,18.92,,
488,488,0,0.0,17.41,,
489,489,0,0.0,12.01,,
490,490,0,0.0,11.14,,
491,491,0,0.0,12.3,,
492,492,1,123.39,25.67,2025-10-02,20.0
493,493,0,0.0,17.6,,
494,494,0,0.0,18.22,,
495,495,0,0.0,21.01,,
496,496,0,0.0,26.17,,
497,497,1,76.18,57.52,2024-12-29,15.0
498,498,1,111.52,50.97,2025-09-13,21.0
499,499,0,0.0,32.86,,
500,500,0,0.0,27.88,,
501,501,1,68.2,21.89,2025-09-02,2.0
502,502,0,0.0,12.46,,
503,503,0,0.0,18.17,,
504,504,0,0.0,22.4,,
505,505,1,120.49,53.81,2025-01-25,28.0
506,506,1,118.63,16.98,2024-03-25,20.0
507,507,1,55.62,35.67,2024-10-25,13.0
508,508,0,0.0,29.84,,
509,509,1,118.11,39.17,2024-05-16,23.0
510,510,0,0.0,18.34,,
511,511,1,78.05,23.57,2024-07-02,22.0
512,512,1,136.26,53.86,2024-06-05,7.0
513,513,0,0.0,33.56,,
514,514,0,0.0,37.68,,
515,515,0,0.0,19.98,,
516,516,0,0.0,22.97,,
517,517,0,0.0,27.16,,
518,518,0,0.0,31.82,,
519,519,1,127.13,36.99,2024-05-10,1.0
520,520,0,0.0,24.16,,
521,521,1,132.97,36.35,2025-04-01,24.0
522,522,0,0.0,18.64,,
523,523,1,87.04,36.08,2024-10-08,9.0
524,524,1,70.02,28.45,2024-11-09,12.0
525,525,0,0.0,16.5,,
526,526,1,96.8,22.48,2025-08-04,7.0
527,527,0,0.0,14.6,,
528,528,0,0.0,29.23,,
529,529,0,0.0,26.46,,
530,530,0,0.0,34.08,,
531,531,0,0.0,31.35,,
532,532,0,0.0,15.41,,
533,533,0,0.0,32.54,,
534,534,0,0.0,26.5,,
535,535,0,0.0,14.46,,
536,536,1,57.06,21.99,2025-12-05,26.0
537,537,1,58.4,27.24,2025-01-17,8.0
538,538,0,0.0,24.03,,
539,539,1,103.36,30.24,2024-03-02,5.0
540,540,0,0.0,20.1,,
541,541,0,0.0,19.03,,
542,542,0,0.0,29.16,,
543,543,1,84.62,33.28,2025-12-03,5.0
544,544,0,0.0,18.29,,
545,545,0,0.0,17.35,,
546,546,0,0.0,31.66,,
547,547,1,147.2,21.64,2025-04-21,16.0
548,548,0,0.0,23.37,,
549,549,1,79.77,48.16,2024-08-29,16.0
550,550,0,0.0,34.88,,
551,551,0,0.0,14.8,,
552,552,0,0.0,38.1,,
553,553,0,0.0,27.14,,
554,554,0,0.0,31.29,,
555,555,0,0.0,12.05,,
556,556,0,0.0,39.75,,
557,557,0,0.0,18.23,,
558,558,1,114.31,28.36,2024-03-07,22.0
559,559,1,93.9,44.46,2025-08-12,10.0
560,560,0,0.0,33.86,,
561,561,0,0.0,16.94,,
562,562,0,0.0,23.45,,
563,563,0,0.0,30.73,,
564,564,0,0.0,29.59,,
565,565,0,0.0,32.05,,
566,566,0,0.0,29.68,,
567,567,0,0.0,33.59,,
568,568,0,0.0,39.08,,
569,569,0,0.0,33.78,,
570,570,0,0.0,27.3,,
571,571,0,0.0,29.05,,
572,572,1,141.24,58.3,2025-12-06,27.0
573,573,0,0.0,27.43,,
574,574,0,0.0,19.27,,
575,575,1,153.35,58.67,2025-12-23,26.0
576,576,0,0.0,17.44,,
577,577,0,0.0,36.01,,
578,578,0,0.0,39.44,,
579,579,0,0.0,24.63,,
580,580,1,52.34,28.48,2024-12-31,11.0
581,581,0,0.0,31.27,,
582,582,0,0.0,32.93,,
583,583,0,0.0,33.53,,
584,584,0,0.0,26.49,,
585,585,1,109.31,23.19,2024-12-22,22.0
586,586,1,78.72,50.25,2025-04-28,5.0
587,587,0,0.0,38.48,,
588,588,1,127.18,19.93,2024-05-29,22.0
589,589,0,0.0,19.74,,
590,590,1,99.62,44.92,2024-04-20,14.0
591,591,0,0.0,38.8,,
592,592,1,124.21,22.75,2024-07-30,2.0
593,593,0,0.0,16.81,,
594,594,0,0.0,12.82,,
595,595,0,0.0,35.3,,
596,596,1,118.45,32.03,2025-09-11,11.0
597,597,0,0.0,12.81,,
598,598,1,63.67,32.77,2025-07-28,26.0
599,599,0,0.0,25.76,,
600,600,0,0.0,13.51,,
601,601,1,132.16,52.57,2024-12-03,24.0
602,602,1,134.32,26.64,2024-05-09,13.0
603,603,0,0.0,36.68,,
604,604,0,0.0,37.56,,
605,605,1,102.08,19.25,2024-08-06,4.0
606,606,1,90.91,32.0,2025-10-17,27.0
607,607,0,0.0,25.33,,
608,608,0,0.0,13.21,,
609,609,0,0.0,17.21,,
610,610,1,120.74,47.8,2025-06-06,28.0
611,611,0,0.0,12.84,,
612,612,1,112.41,26.16,2025-11-11,23.0
613,613,0,0.0,34.24,,
614,614,0,0.0,20.01,,
615,615,0,0.0,27.14,,
616,616,1,121.16,23.2,2025-10-12,8.0
617,617,1,147.81,38.11,2024-11-19,24.0
618,618,0,0.0,15.46,,
619,619,0,0.0,32.67,,
620,620,0,0.0,31.81,,
621,621,0,0.0,38.65,,
622,622,0,0.0,17.72,,
623,623,0,0.0,16.84,,
624,624,0,0.0,17.34,,
625,625,0,0.0,29.56,,
626,626,0,0.0,26.92,,
627,627,1,125.13,32.02,2024-03-07,15.0
628,628,0,0.0,30.67,,
629,629,0,0.0,16.41,,
630,630,0,0.0,33.61,,
631,631,1,149.04,50.62,2024-08-19,17.0
632,632,1,107.42,39.02,2025-09-11,21.0
633,633,0,0.0,13.92,,
634,634,1,126.95,36.32,2025-09-24,22.0
635,635,1,104.83,47.29,2025-01-29,18.0
636,636,1,95.96,24.55,2024-11-21,9.0
637,637,0,0.0,23.79,,
638,638,1,95.26,42.67,2025-01-26,5.0
639,639,0,0.0,32.53,,
640,640,0,0.0,22.78,,
641,641,1,148.27,20.33,2024-11-28,22.0
642,642,1,154.94,16.88,2024-07-18,14.0
643,643,0,0.0,29.55,,
644,644,0,0.0,28.18,,
645,645,0,0.0,15.79,,
646,646,0,0.0,21.21,,
647,647,0,0.0,33.98,,
648,648,0,0.0,10.67,,
649,649,1,149.86,42.52,2024-02-11,5.0
650,650,0,0.0,12.02,,
651,651,0,0.0,39.11,,
652,652,1,96.58,48.96,2025-05-31,13.0
653,653,0,0.0,14.81,,
654,654,0,0.0,37.8,,
655,655,0,0.0,24.69,,
656,656,0,0.0,18.62,,
657,657,0,0.0,17.37,,
658,658,1,124.88,37.79,2026-01-11,27.0
659,659,0,0.0,32.59,,
660,660,0,0.0,31.21,,
661,661,1,111.15,20.66,2024-01-25,18.0
662,662,1,101.47,23.07,2025-03-02,18.0
663,663,0,0.0,13.8,,
664,664,0,0.0,14.32,,
665,665,0,0.0,14.83,,
666,666,0,0.0,33.04,,
667,667,0,0.0,20.09,,
668,668,1,111.43,57.35,2025-06-06,23.0
669,669,0,0.0,16.33,,
670,670,0,0.0,25.76,,
671,671,1,67.87,55.89,2025-12-13,26.0
672,672,1,127.72,34.99,2024-05-04,10.0
673,673,0,0.0,26.54,,
674,674,1,87.06,21.86,2024-07-07,9.0
675,675,0,0.0,24.47,,
676,676,1,139.05,27.45,2024-05-23,14.0
677,677,0,0.0,10.59,,
678,678,1,81.3,26.02,2025-02-20,28.0
679,679,0,0.0,22.43,,
680,680,0,0.0,22.83,,
681,681,1,125.01,48.84,2025-09-22,29.0
682,682,0,0.0,39.46,,
683,683,1,79.03,58.83,2025-02-07,12.0
684,684,0,0.0,10.45,,
685,685,1,53.52,16.27,2024-02-21,13.0
686,686,1,92.33,54.66,2024-08-24,25.0
687,687,1,67.09,42.61,2024-05-01,14.0
688,688,0,0.0,39.53,,
689,689,1,102.03,58.53,2024-04-17,25.0
690,690,0,0.0,36.73,,
691,691,0,0.0,29.02,,
692,692,1,66.83,27.6,2025-11-09,8.0
693,693,0,0.0,25.05,,
694,694,0,0.0,32.27,,
695,695,0,0.0,39.56,,
696,696,0,0.0,37.37,,
697,697,0,0.0,31.11,,
698,698,0,0.0,25.63,,
699,699,1,141.77,15.85,2024-08-31,16.0
700,700,0,0.0,38.36,,
701,701,0,0.0,37.56,,
702,702,0,0.0,20.66,,
703,703,0,0.0,38.14,,
704,704,0,0.0,29.74,,
705,705,1,47.65,51.6,2024-10-02,8.0
706,706,1,89.15,40.06,2025-12-23,23.0
707,707,0,0.0,25.79,,
708,708,0,0.0,21.85,,
709,709,0,0.0,25.48,,
710,710,0,0.0,24.59,,
711,711,0,0.0,19.12,,
712,712,0,0.0,26.45,,
713,713,1,157.94,28.47,2024-05-15,26.0
714,714,1,124.06,27.82,2025-11-03,27.0
715,715,0,0.0,20.34,,
716,716,0,0.0,22.28,,
717,717,0,0.0,26.14,,
718,718,0,0.0,39.67,,
719,719,0,0.0,12.38,,
720,720,0,0.0,31.03,,
721,721,1,134.86,39.76,2025-10-13,13.0
722,722,1,65.75,28.62,2025-07-10,12.0
723,723,0,0.0,10.69,,
724,724,1,90.59,33.21,2025-12-30,21.0
725,725,0,0.0,31.18,,
726,726,1,113.88,37.12,2024-04-29,14.0
727,727,0,0.0,28.25,,
728,728,0,0.0,13.57,,
729,729,0,0.0,27.43,,
730,730,0,0.0,27.82,,
731,731,0,0.0,30.05,,
732,732,0,0.0,39.23,,
733,733,1,112.86,58.71,2025-11-24,19.0
734,734,1,118.66,27.03,2024-11-03,27.0
735,735,0,0.0,30.13,,
736,736,1,68.6,49.58,2025-11-17,20.0
737,737,1,93.53,29.28,2025-10-15,3.0
738,738,1,85.43,43.74,2025-12-27,4.0
739,739,1,61.53,24.74,2024-05-30,9.0
740,740,0,0.0,23.01,,
741,741,1,100.91,52.1,2024-11-10,26.0
742,742,0,0.0,28.34,,
