customer_id,lead_id,conversion_id,join_date,segment,lifetime_value,churned,churn_date
37,108,108,2025-06-25,Standard,44367.9,1,2027-03-02
38,109,109,2025-12-06,Standard,134135.73,1,2026-12-04
39,114,114,2025-12-04,Standard,29724.4,0,
40,118,118,2025-07-30,At-Risk,24235.78,1,2027-04-27
41,121,121,2025-09-02,Standard,91243.21,0,
42,122,122,2025-08-14,Standard,33199.32,0,
43,123,123,2025-07-26,Standard,64681.02,0,
44,125,125,2024-12-05,Standard,66493.21,0,
45,129,129,2024-05-17,At-Risk,11860.75,0,
46,132,132,2025-02-01,High-Value,262246.7,0,
47,133,133,2025-06-13,Standard,29961.09,0,
48,136,136,2024-09-18,Standard,70004.77,0,
49,141,141,2025-09-05,Standard,54871.57,0,
50,146,146,2025-05-27,At-Risk,52358.39,0,
51,147,147,2024-09-10,Standard,112712.14,0,
52,150,150,2024-12-12,Standard,31203.48,0,
53,151,151,2025-11-22,Standard,75583.62,1,2026-09-15
54,154,154,2024-01-07,Standard,51948.84,0,
55,155,155,2025-08-20,Standard,145957.13,0,
56,159,159,2025-04-06,At-Risk,22901.54,1,2025-10-23
57,161,161,2026-01-09,At-Risk,37261.35,0,
58,165,165,2025-07-01,At-Risk,40932.39,0,
59,166,166,2025-07-09,Standard,117705.05,0,
60,168,168,2024-04-06,Standard,84170.95,0,
61,170,170,2025-01-03,Standard,109490.83,0,
62,171,171,2025-10-19,At-Risk,63309.06,0,
63,172,172,2024-05-29,Standard,317312.29,0,
64,175,175,2025-02-12,Standard,46485.7,0,
65,177,177,2024-12-02,Standard,93289.84,0,
66,179,179,2024-06-01,Standard,78659.77,0,
67,180,180,2024-02-17,Standard,76484.17,0,
68,181,181,2024-06-01,At-Risk,42877.37,0,
69,196,196,2024-05-29,At-Risk,61285.95,0,
70,200,200,2024-05-26,Standard,136940.43,0,
71,202,202,2024-01-15,Standard,119450.18,0,
72,204,204,2024-07-09,Standard,119460.92,0,
73,212,212,2024-08-09,Standard,133679.69,0,
74,214,214,2024-05-23,Standard,85527.54,0,
75,216,216,2025-08-31,Standard,89379.99,1,2025-12-21
76,222,222,2024-10-05,Standard,53011.94,0,
77,223,223,2025-06-25,Standard,33525.94,0,
78,225,225,2025-08-01,Standard,125928.76,0,
79,226,226,2025-05-20,Standard,75757.8,0,
80,236,236,2025-10-20,Standard,87643.1,0,
81,239,239,2025-06-12,Standard,68057.84,0,
82,242,242,2025-04-14,Standard,46002.76,1,2026-08-25
83,249,249,2025-08-02,Standard,146087.17,1,2026-04-10
84,250,250,2024-10-19,Standard,40729.4,1,2026-01-08
85,261,261,2024-05-30,Standard,79669.88,0,
86,264,264,2025-08-29,Standard,103013.74,0,
87,265,265,2025-04-17,High-Value,181885.61,0,
88,270,270,2024-07-11,Standard,72736.72,0,
89,272,272,2024-11-24,Standard,76929.68,0,
90,277,277,2025-11-28,High-Value,288411.05,1,2027-02-04
91,280,280,2025-07-18,Standard,146109.39,0,
92,281,281,2024-02-02,High-Value,241098.49,0,
93,288,288,2025-10-26,At-Risk,99558.41,1,2026-03-20
94,290,290,2025-09-21,Standard,96919.11,0,
95,292,292,2025-08-13,At-Risk,36188.24,1,2026-07-16
96,293,293,2024-01-15,At-Risk,22218.09,0,
97,297,297,2025-07-25,Standard,44417.92,0,
98,302,302,2024-04-28,Standard,132434.12,0,
99,303,303,2024-07-30,Standard,65343.58,0,
100,304,304,2025-02-16,Standard,52952.84,0,
101,305,305,2025-02-27,At-Risk,26729.98,0,
102,311,311,2024-09-29,Standard,137548.55,0,
103,313,313,2025-06-01,At-Risk,31813.22,0,
104,317,317,2024-06-25,Standard,116263.82,0,
105,322,322,2025-12-14,At-Risk,62398.55,0,
106,327,327,2025-08-10,Standard,39406.63,1,2026-08-01
107,330,330,2024-03-02,Standard,70434.78,0,
108,339,339,2025-11-01,At-Risk,40747.27,0,
109,340,340,2024-07-11,At-Risk,21842.36,1,2025-11-08
110,341,341,2025-11-18,High-Value,229179.11,0,
111,343,343,2025-10-10,At-Risk,17722.03,0,
112,353,353,2024-05-28,Standard,70159.65,0,
113,354,354,2025-03-02,Standard,94323.73,0,
114,356,356,2025-05-16,At-Risk,48171.52,1,2026-04-28
115,363,363,2025-01-28,Standard,61538.68,0,
116,369,369,2025-10-02,At-Risk,56343.63,1,2027-05-30
117,370,370,2024-11-05,High-Value,200508.45,0,
118,371,371,2025-03-20,Standard,71947.58,0,
119,374,374,2024-03-22,Standard,131000.42,1,2025-12-17
120,377,377,2025-01-11,Standard,48052.48,0,
121,378,378,2025-03-29,At-Risk,92365.91,0,
122,380,380,2025-11-12,Standard,37012.53,0,
123,382,382,2025-08-14,Standard,108355.33,0,
124,383,383,2025-02-27,Standard,172185.22,1,2025-10-11
125,402,402,2026-01-13,Standard,99716.75,0,
126,406,406,2024-07-22,At-Risk,26571.68,0,
127,411,411,2025-01-03,Standard,138633.73,0,
128,416,416,2025-02-27,Standard,104315.47,1,2026-07-29
129,426,426,2024-05-16,Standard,81926.81,0,
130,428,428,2024-07-13,High-Value,253312.7,0,
131,429,429,2024-05-25,Standard,54581.74,0,
132,430,430,2025-02-01,Standard,76355.97,0,
133,434,434,2024-10-23,Standard,104088.28,0,
134,446,446,2024-08-30,High-Value,333860.93,0,
135,447,447,2025-11-09,At-Risk,72342.77,0,
136,448,448,2024-09-30,Standard,46252.93,0,
137,456,456,2024-04-02,Standard,61605.16,0,
138,460,460,2025-12-24,At-Risk,13701.44,0,
139,461,461,2025-11-18,At-Risk,26505.93,0,
140,463,463,2025-06-08,Standard,53275.46,0,
141,469,469,2025-01-31,Standard,63436.49,0,
142,471,471,2025-12-21,Standard,39070.17,0,
143,480,480,2024-02-19,At-Risk,38585.43,0,
144,482,482,2024-09-09,At-Risk,61445.47,0,
145,492,492,2025-10-02,Standard,87551.1,0,
146,497,497,2024-12-29,At-Risk,94886.05,1,2025-06-17
147,498,498,2025-09-13,Standard,63127.87,0,
148,501,501,2025-09-02,Standard,65667.73,0,
149,505,505,2025-01-25,Standard,167752.88,0,
150,506,506,2024-03-25,At-Risk,112614.44,1,2025-10-03
151,507,507,2024-10-25,Standard,129059.23,0,
152,509,509,2024-05-16,Standard,96767.19,0,
153,511,511,2024-07-02,At-Risk,48776.5,0,
154,512,512,2024-06-05,At-Risk,60748.57,0,
155,519,519,2024-05-10,At-Risk,56833.7,0,
156,521,521,2025-04-01,Standard,70649.39,0,
157,523,523,2024-10-08,At-Risk,18278.66,0,
158,524,524,2024-11-09,At-Risk,24605.25,0,
159,526,526,2025-08-04,At-Risk,14778.38,0,
160,536,536,2025-12-05,Standard,154438.89,1,2026-11-25
161,537,537,2025-01-17,At-Risk,27150.74,0,
162,539,539,2024-03-02,Standard,49589.19,0,
163,543,543,2025-12-03,At-Risk,13153.7,0,
164,547,547,2025-04-21,Standard,113366.24,0,
165,549,549,2024-08-29,At-Risk,76021.85,0,
166,558,558,2024-03-07,Standard,54168.54,0,
167,559,559,2025-08-12,Standard,34394.65,0,
168,572,572,2025-12-06,At-Risk,84729.98,1,2027-06-13
169,575,575,2025-12-23,Standard,130803.16,0,
170,580,580,2024-12-31,At-Risk,48488.35,0,
171,585,585,2024-12-22,Standard,74929.53,0,
172,586,586,2025-04-28,Standard,65052.89,0,
173,588,588,2024-05-29,Standard,80340.82,1,2024-10-20
174,590,590,2024-04-20,Standard,252138.32,0,
175,592,592,2024-07-30,Standard,45229.69,0,
176,596,596,2025-09-11,Standard,85018.29,0,
177,598,598,2025-07-28,At-Risk,22796.03,1,2026-04-04
178,601,601,2024-12-03,Standard,97801.77,0,
179,602,602,2024-05-09,Standard,35783.1,0,
180,605,605,2024-08-06,Standard,66099.43,0,
181,606,606,2025-10-17,High-Value,410748.9,0,
182,610,610,2025-06-06,Standard,196864.12,1,2026-07-22
183,612,612,2025-11-11,At-Risk,32368.58,0,
184,616,616,2025-10-12,Standard,46121.37,0,
185,617,617,2024-11-19,High-Value,242073.7,0,
186,627,627,2024-03-07,Standard,88448.58,0,
187,631,631,2024-08-19,Standard,80527.66,0,
188,632,632,2025-09-11,Standard,37487.97,0,
189,634,634,2025-09-24,Standard,88937.87,0,
190,635,635,2025-01-29,Standard,205634.19,0,
191,636,636,2024-11-21,Standard,49068.45,0,
192,638,638,2025-01-26,Standard,76353.94,0,
193,641,641,2024-11-28,At-Risk,28194.52,1,2025-11-03
194,642,642,2024-07-18,Standard,84440.17,1,2025-04-17
195,649,649,2024-02-11,High-Value,581943.08,0,
196,652,652,2025-05-31,Standard,206067.38,0,
197,658,658,2026-01-11,At-Risk,37490.5,0,
198,661,661,2024-01-25,At-Risk,16805.44,1,2025-08-08
199,662,662,2025-03-02,Standard,93871.07,0,
200,668,668,2025-06-06,Standard,43986.87,0,
201,671,671,2025-12-13,Standard,45429.84,0,
202,672,672,2024-05-04,Standard,57850.0,0,
203,674,674,2024-07-07,Standard,103967.36,0,
204,676,676,2024-05-23,Standard,52055.23,0,
205,678,678,2025-02-20,Standard,49129.05,0,
206,681,681,2025-09-22,At-Risk,25108.18,1,2027-06-19
207,683,683,2025-02-07,Standard,54352.83,0,
208,685,685,2024-02-21,At-Risk,27989.09,1,2025-06-04
209,686,686,2024-08-24,Standard,41107.34,0,
210,687,687,2024-05-01,At-Risk,108287.17,0,
211,689,689,2024-04-17,Standard,172910.28,0,
212,692,692,2025-11-09,High-Value,231251.21,0,
213,699,699,2024-08-31,Standard,124538.14,0,
214,705,705,2024-10-02,Standard,69977.4,0,
215,706,706,2025-12-23,Standard,111715.56,0,
216,713,713,2024-05-15,High-Value,313239.18,0,
217,714,714,2025-11-03,Standard,37580.85,0,
218,721,721,2025-10-13,Standard,94494.51,1,2026-09-28
219,722,722,2025-07-10,At-Risk,49340.25,0,
220,724,724,2025-12-30,Standard,32976.74,0,
221,726,726,2024-04-29,Standard,32878.12,0,
222,733,733,2025-11-24,At-Risk,103759.41,0,
223,734,734,2024-11-03,Standard,86094.49,0,
224,736,736,2025-11-17,Standard,69505.67,0,
225,737,737,2025-10-15,Standard,98681.55,0,
226,738,738,2025-12-27,At-Risk,37608.09,0,
227,739,739,2024-05-30,Standard,60933.39,0,
228,741,741,2024-11-10,Standard,125432.19,0,
229,747,747,2024-02-07,Standard,89641.03,0,
230,754,754,2025-02-27,Standard,32146.63,0,
231,758,758,2024-07-14,Standard,70918.34,0,
232,767,767,2025-01-07,At-Risk,95392.77,0,
233,770,770,2025-10-07,Standard,70452.57,0,
234,771,771,2025-03-22,High-Value,237938.06,0,
235,776,776,2025-08-20,Standard,49871.02,0,
236,787,787,2025-02-12,At-Risk,18542.79,0,
237,788,788,2025-08-10,Standard,105523.39,0,
238,790,790,2024-03-15,At-Risk,12558.35,0,
239,800,800,2025-05-30,Standard,65642.06,0,
240,802,802,2025-02-15,Standard,176390.01,0,
241,806,806,2024-12-13,At-Risk,62980.44,1,2026-02-06
242,811,811,2024-06-15,At-Risk,42190.21,0,
243,815,815,2024-09-21,Standard,132908.25,0,
244,816,816,2026-01-17,High-Value,226900.31,0,
245,818,818,2025-05-31,At-Risk,52282.02,0,
246,820,820,2024-04-26,High-Value,334153.75,0,
247,822,822,2025-01-08,Standard,106077.9,0,
248,825,825,2025-04-05,At-Risk,63891.51,1,2025-06-24
249,828,828,2026-01-05,At-Risk,31677.41,0,
250,830,830,2024-09-09,Standard,70865.83,0,
251,831,831,2024-02-03,Standard,62559.0,0,
252,833,833,2025-03-27,Standard,211692.09,0,
253,838,838,2024-12-31,At-Risk,22407.59,0,
254,839,839,2025-12-20,At-Risk,16660.98,0,
255,842,842,2024-12-13,Standard,91179.26,0,
256,844,844,2024-12-25,At-Risk,13244.62,0,
257,847,847,2024-07-02,Standard,59458.47,0,
258,848,848,2025-12-11,Standard,40176.95,0,
259,849,849,2025-06-10,Standard,199608.26,0,
260,868,868,2025-10-09,Standard,84564.33,1,2026-09-20
261,870,870,2025-01-22,Standard,97285.12,0,
262,876,876,2026-01-20,At-Risk,22230.27,0,
263,880,880,2024-09-23,Standard,43758.53,0,
264,883,883,2024-01-29,Standard,54775.34,0,
265,884,884,2025-11-16,At-Risk,10417.39,0,
266,889,889,2025-12-03,Standard,184038.2,1,2026-02-01
267,891,891,2025-12-26,At-Risk,10918.56,0,
268,892,892,2026-01-23,Standard,29478.37,1,2027-02-03
269,895,895,2024-05-11,Standard,81145.26,0,
270,902,902,2025-11-28,High-Value,254410.44,0,
271,903,903,2024-01-31,Standard,89445.94,0,
272,904,904,2024-02-09,Standard,43767.52,0,
273,906,906,2024-11-14,At-Risk,21396.66,0,
274,908,908,2025-04-12,Standard,71695.69,0,
275,915,915,2024-05-13,Standard,58203.36,1,2024-11-24
276,920,920,2024-05-14,Standard,182930.95,0,
277,925,925,2024-06-20,At-Risk,24023.76,1,2024-08-21
278,926,926,2025-11-28,Standard,64152.26,0,
279,931,931,2024-02-06,Standard,59639.13,0,
280,932,932,2024-11-27,Standard,50959.69,0,
281,937,937,2025-12-27,At-Risk,20517.72,0,
282,946,946,2024-04-17,Standard,68329.16,0,
283,948,948,2025-10-27,Standard,143890.28,1,2027-01-13
284,949,949,2024-11-04,At-Risk,30842.09,0,
285,954,954,2025-12-04,Standard,57845.13,0,
286,956,956,2025-06-03,Standard,71787.78,0,
287,957,957,2024-01-17,At-Risk,68827.45,0,
288,961,961,2025-04-08,Standard,36871.18,0,
289,962,962,2025-11-27,Standard,80686.7,1,2026-12-24
290,963,963,2025-04-24,Standard,98392.31,0,
291,967,967,2025-01-22,High-Value,236056.76,0,
292,970,970,2025-11-13,Standard,33086.61,0,
293,974,974,2024-03-03,Standard,80437.7,1,2025-03-23
294,976,976,2024-07-21,Standard,43319.69,0,
295,982,982,2025-02-28,Standard,41747.69,1,2026-12-03
296,984,984,2025-01-13,Standard,30145.66,0,
297,987,987,2025-09-06,Standard,85384.86,1,2026-12-27
298,991,991,2025-06-13,Standard,77476.88,0,
299,992,992,2025-07-11,At-Risk,42293.77,1,2026-03-27
300,999,999,2024-10-14,Standard,52645.34,0,
301,1000,1000,2025-06-17,Standard,204217.64,1,2026-03-04
302,1005,1005,2024-03-12,Standard,130100.41,0,
303,1015,1015,2025-08-18,At-Risk,26714.69,0,
304,1017,1017,2025-06-26,Standard,120660.94,0,
305,1018,1018,2025-06-26,Standard,92048.06,0,
306,1023,1023,2025-10-03,Standard,116518.36,0,
307,1028,1028,2024-03-11,At-Risk,29583.24,0,
308,1029,1029,2024-11-17,Standard,60370.48,0,
309,1034,1034,2025-04-10,Standard,29268.66,1,2025-11-19
310,1038,1038,2024-08-18,High-Value,251647.83,0,
311,1041,1041,2025-01-12,Standard,42077.11,0,
312,1042,1042,2025-03-12,Standard,37666.78,0,
313,1047,1047,2025-06-22,At-Risk,17352.0,1,2025-09-15
314,1049,1049,2025-08-12,Standard,185933.49,0,
315,1050,1050,2024-03-10,At-Risk,40146.88,1,2025-06-26
316,1051,1051,2024-09-05,At-Risk,14551.36,0,
317,1052,1052,2024-11-05,Standard,52203.34,1,2025-08-29
318,1061,1061,2024-08-17,Standard,49230.1,0,
319,1062,1062,2024-11-15,Standard,65906.7,0,
320,1063,1063,2024-12-21,High-Value,282064.24,0,
321,1073,1073,2024-11-25,Standard,53138.46,1,2025-01-27
322,1076,1076,2025-05-03,Standard,32973.55,0,
323,1079,1079,2024-03-16,High-Value,444212.29,0,
324,1080,1080,2025-04-07,Standard,38188.25,0,
325,1081,1081,2025-12-01,Standard,76109.33,0,
326,1084,1084,2025-01-27,At-Risk,25661.57,1,2025-12-02
327,1086,1086,2025-07-29,At-Risk,45044.47,1,2026-11-20
328,1088,1088,2024-11-19,Standard,37467.61,0,
329,1100,1100,2025-09-05,At-Risk,25445.18,0,
330,1101,1101,2025-11-08,Standard,53351.12,0,
331,1104,1104,2025-11-29,Standard,59991.82,0,
332,1105,1105,2025-11-25,Standard,82094.91,0,
333,1110,1110,2024-12-28,Standard,34155.67,0,
334,1111,1111,2024-05-19,Standard,58307.29,0,
335,1112,1112,2025-12-05,At-Risk,36024.1,0,
336,1113,1113,2025-07-11,Standard,51432.13,0,
337,1115,1115,2025-07-17,Standard,76208.91,0,
338,1116,1116,2024-06-17,Standard,115185.58,0,
339,1119,1119,2025-05-11,Standard,79909.54,0,
340,1122,1122,2025-10-24,Standard,47884.11,0,
341,1126,1126,2024-11-14,Standard,172629.97,0,
342,1129,1129,2025-05-27,Standard,148373.38,0,
343,1138,1138,2024-12-10,High-Value,362565.76,0,
344,1139,1139,2025-12-13,Standard,65231.47,0,
345,1144,1144,2025-06-16,Standard,47042.21,0,
346,1146,1146,2025-07-20,Standard,41110.68,0,
347,1148,1148,2024-06-15,High-Value,251652.08,0,
348,1150,1150,2024-08-03,Standard,108120.51,0,
349,1153,1153,2025-09-20,At-Risk,64448.88,0,
350,1156,1156,2024-11-26,At-Risk,25972.63,1,2025-04-05
351,1171,1171,2025-10-16,At-Risk,18665.31,1,2026-12-09
352,1172,1172,2025-09-27,Standard,86153.34,1,2027-06-27
353,1173,1173,2025-10-17,Standard,96159.9,1,2027-10-02
354,1179,1179,2024-01-26,At-Risk,27283.44,0,
355,1180,1180,2024-08-19,Standard,83775.16,0,
356,1184,1184,2024-12-23,At-Risk,22620.23,0,
357,1188,1188,2024-06-24,Standard,24841.18,0,
358,1196,1196,2024-11-20,Standard,29407.86,0,
359,1197,1197,2025-11-07,Standard,66756.09,0,
360,1199,1199,2025-10-13,At-Risk,44081.65,1,2027-10-08
361,1203,1203,2024-03-15,Standard,74610.44,1,2024-12-18
362,1208,1208,2025-11-15,At-Risk,44712.19,1,2026-12-21
363,1210,1210,2025-12-11,Standard,70837.17,0,
364,1213,1213,2024-10-08,Standard,111391.64,1,2026-02-26
365,1214,1214,2024-04-05,Standard,245346.48,0,
366,1217,1217,2025-02-06,At-Risk,52180.3,0,
367,1223,1223,2024-11-16,At-Risk,31674.06,1,2026-02-14
368,1226,1226,2025-11-03,At-Risk,33234.67,0,
369,1228,1228,2025-06-27,At-Risk,14070.48,1,2027-04-12
370,1231,1231,2025-09-26,Standard,62028.57,0,
371,1237,1237,2024-10-19,Standard,220723.54,0,
372,1239,1239,2024-05-02,Standard,73766.2,0,
373,1244,1244,2025-02-25,At-Risk,46359.78,0,
374,1248,1248,2024-12-11,At-Risk,19662.62,0,
375,1250,1250,2025-06-05,High-Value,267741.33,0,
376,1254,1254,2025-01-08,Standard,60126.57,0,
377,1256,1256,2024-10-04,At-Risk,62551.15,0,
378,1258,1258,2024-12-27,Standard,40647.73,1,2026-06-01
379,1266,1266,2024-09-23,Standard,52365.34,1,2025-12-09
380,1267,1267,2024-04-25,Standard,46538.09,0,
381,1275,1275,2024-07-21,At-Risk,85051.42,1,2026-05-06
382,1278,1278,2024-01-23,High-Value,352319.27,0,
383,1279,1279,2025-12-15,Standard,194034.41,0,
384,1286,1286,2025-11-29,Standard,71854.59,0,
385,1300,1300,2025-06-21,Standard,79233.8,0,
386,1303,1303,2025-01-29,At-Risk,24175.57,1,2025-05-18
387,1304,1304,2024-11-23,At-Risk,58093.78,1,2026-03-09
388,1312,1312,2025-02-10,At-Risk,49253.1,0,
389,1316,1316,2024-09-15,At-Risk,52814.75,1,2026-04-20
390,1322,1322,2024-02-07,At-Risk,28500.47,0,
391,1331,1331,2025-07-30,Standard,151324.56,1,2026-11-24
392,1333,1333,2024-04-14,Standard,181849.8,0,
393,1337,1337,2024-02-07,Standard,70012.85,0,
394,1340,1340,2024-07-12,At-Risk,56005.66,0,
395,1355,1355,2025-01-11,At-Risk,38312.23,1,2026-12-04
396,1356,1356,2025-12-13,Standard,51309.63,0,
397,1357,1357,2025-08-02,Standard,67724.83,0,
398,1360,1360,2025-08-26,Standard,71634.58,0,
399,1368,1368,2024-06-07,Standard,35553.21,0,
400,1369,1369,2024-04-28,Standard,92390.5,0,
401,1371,1371,2024-02-17,High-Value,300423.18,0,
402,1376,1376,2024-12-15,Standard,77682.15,0,
403,1378,1378,2024-05-10,Standard,85395.7,0,
404,1384,1384,2024-11-28,Standard,75421.92,0,
405,1388,1388,2025-08-18,At-Risk,34566.95,1,2026-01-29
406,1390,1390,2025-05-06,Standard,41077.43,0,
407,1393,1393,2025-06-19,Standard,91627.59,0,
408,1398,1398,2024-12-21,Standard,94222.28,0,
409,1400,1400,2025-05-28,At-Risk,48486.86,1,2026-10-22
410,1401,1401,2024-01-24,At-Risk,26122.4,0,
411,1407,1407,2025-07-09,At-Risk,120694.25,0,
412,1420,1420,2025-02-22,Standard,37432.37,0,
413,1433,1433,2025-03-08,Standard,104042.44,1,2026-02-09
414,1436,1436,2025-06-23,At-Risk,20257.13,0,
415,1439,1439,2025-12-11,High-Value,382307.3,0,
416,1442,1442,2025-09-18,High-Value,376737.82,0,
417,1443,1443,2026-01-05,Standard,80359.6,0,
418,1445,1445,2025-04-26,Standard,48592.51,0,
419,1453,1453,2025-11-13,Standard,90271.44,0,
420,1456,1456,2025-06-26,Standard,119901.91,0,
421,1458,1458,2025-08-15,Standard,49709.96,0,
422,1461,1461,2024-12-24,Standard,50315.64,0,
423,1465,1465,2025-05-28,Standard,90936.6,0,
424,1469,1469,2025-01-12,Standard,108782.62,1,2025-04-18
425,1470,1470,2024-03-17,Standard,90324.52,0,
426,1473,1473,2024-05-17,Standard,28030.67,0,
427,1479,1479,2024-12-27,At-Risk,24430.49,1,2025-05-27
428,1482,1482,2025-03-20,Standard,41108.25,0,
429,1485,1485,2025-07-30,Standard,33212.12,0,
430,1487,1487,2025-04-21,Standard,123901.72,0,
431,1488,1488,2025-05-31,At-Risk,27138.85,0,
432,1494,1494,2024-06-20,At-Risk,17578.07,1,2024-09-06
433,1497,1497,2025-10-03,High-Value,318912.06,0,
434,1502,1502,2025-02-10,Standard,67390.8,0,
435,1504,1504,2025-03-06,Standard,30696.34,0,
436,1506,1506,2024-07-02,Standard,76269.43,0,
437,1507,1507,2024-01-29,Standard,48130.4,1,2025-02-10
438,1508,1508,2025-12-04,Standard,34335.62,0,
439,1520,1520,2025-05-19,At-Risk,47332.01,1,2026-10-01
440,1521,1521,2024-05-26,Standard,44734.27,0,
441,1529,1529,2024-05-08,Standard,128222.82,0,
442,1530,1530,2025-12-03,Standard,163778.86,0,
443,1539,1539,2024-10-14,At-Risk,17428.64,0,
444,1543,1543,2025-05-18,Standard,63813.73,0,
445,1544,1544,2025-05-05,At-Risk,14111.57,0,
446,1545,1545,2025-11-26,At-Risk,21151.34,0,
447,1546,1546,2024-03-02,Standard,52171.35,0,
448,1547,1547,2024-09-13,At-Risk,47510.79,0,
449,1549,1549,2025-03-19,Standard,68241.99,0,
450,1550,1550,2025-06-10,Standard,86706.86,1,2027-02-15
451,1551,1551,2025-02-19,At-Risk,45462.58,0,
452,1553,1553,2024-10-18,Standard,44320.93,0,
453,1559,1559,2024-09-05,Standard,69071.76,0,
454,1560,1560,2025-12-22,Standard,54060.81,0,
455,1568,1568,2025-01-14,At-Risk,21112.49,0,
456,1569,1569,2024-10-28,Standard,157150.52,1,2025-09-20
457,1572,1572,2024-12-03,Standard,66013.33,1,2025-11-27
458,1574,1574,2024-07-20,Standard,111806.42,0,
459,1577,1577,2024-05-20,At-Risk,23524.01,0,
460,1578,1578,2024-11-17,At-Risk,87842.31,0,
461,1581,1581,2024-09-16,Standard,44659.54,0,
462,1584,1584,2025-06-04,Standard,51628.49,0,
463,1586,1586,2024-02-17,Standard,57964.12,0,
464,1590,1590,2024-06-10,Standard,56510.18,0,
465,1597,1597,2025-03-13,Standard,190098.48,1,2025-11-01
466,1598,1598,2025-08-16,Standard,144606.01,0,
467,1599,1599,2024-02-01,High-Value,297428.26,0,
468,1602,1602,2025-08-07,Standard,82365.0,0,
469,1603,1603,2024-06-09,Standard,55379.91,0,
470,1604,1604,2024-02-29,Standard,33504.75,1,2025-06-02
471,1609,1609,2025-07-02,Standard,145437.21,0,
472,1611,1611,2024-02-01,High-Value,318424.88,0,
473,1612,1612,2024-11-07,Standard,89954.62,1,2025-07-17
474,1616,1616,2024-04-29,Standard,65152.46,0,
475,1627,1627,2024-11-22,At-Risk,94469.13,0,
476,1635,1635,2024-09-02,At-Risk,44877.17,0,
477,1636,1636,2025-11-27,Standard,44738.56,0,
478,1637,1637,2025-09-17,Standard,64482.1,0,
479,1642,1642,2025-12-28,Standard,71763.7,0,
480,1648,1648,2024-05-21,Standard,70815.78,0,
481,1653,1653,2026-01-10,Standard,45919.92,0,
482,1656,1656,2024-10-15,At-Risk,13124.96,1,2025-04-30
483,1659,1659,2024-01-12,Standard,75332.69,0,
484,1662,1662,2025-11-30,Standard,67044.95,0,
485,1664,1664,2026-01-08,Standard,167633.61,0,
486,1666,1666,2025-04-18,Standard,64014.98,1,2027-01-18
487,1667,1667,2025-03-01,Standard,101868.98,0,
488,1669,1669,2025-08-19,At-Risk,163650.77,1,2027-06-22
489,1671,1671,2025-10-19,At-Risk,20709.38,0,
490,1673,1673,2024-08-17,Standard,93179.83,0,
491,1688,1688,2025-05-02,Standard,93020.93,0,
492,1689,1689,2024-05-07,Standard,47842.09,0,
493,1690,1690,2024-10-30,Standard,54617.1,0,
494,1695,1695,2024-10-20,Standard,189037.9,1,2026-08-24
495,1698,1698,2024-09-27,High-Value,358873.86,0,
496,1700,1700,2025-01-19,Standard,45495.71,0,
497,1701,1701,2024-12-06,Standard,59650.28,0,
498,1702,1702,2025-02-06,Standard,62225.88,0,
499,1707,1707,2024-11-04,High-Value,184163.94,0,
500,1710,1710,2024-02-22,Standard,46536.19,0,
501,1713,1713,2025-02-03,Standard,60120.49,0,
502,1714,1714,2025-12-22,Standard,49166.09,0,
503,1715,1715,2024-05-23,At-Risk,22853.43,0,
504,1725,1725,2025-10-14,At-Risk,19471.24,0,
